Layer	Study	(NP80/NG80)	Batch_ID	GC Bias	Gene Length Bias	NG80	NP80	Phenotype_Processed	Platelet Score	RNA Degradation (3' Bias)	Sample Volume (mL)	Spliced Reads (%)	Total Centrifugation Force (g)	gDNA Contamination (Intron/Exon)	log(Total Reads)	rRNA Fraction
RUVg Platelet (k=1)	Moore et al.	0.0001247924966842895	0.004492598938915293	0.0028329400653595016	0.009356732725423478	0.00022377071443002716	0.0018989623779352982	0.0013101090328400122	0.008271131791161457	0.0024632541399762786	0.0	0.0016297330981059899	0.000559313432502373	0.004023755903132087	0.0019503084519766345	0.0018845114561256704
RUVg Platelet (k=1)	Moufarrej et al.	0.0008536790997130117	0.0005370409516559649	0.006313033869808526	0.007505973696069201	0.0018232342240207533	0.003632461431693712	0.0	0.004419284288978531	0.0021586406211345777	0.0	0.0009227502688051725	0.0	0.0032230254861165264	0.0012477941816950722	0.0019850615670869987
RUVg Platelet (k=1)	Roskams-Hieter B et al.	0.0007779071594619102	0.001089913179809665	0.008691219954569895	0.004818150515597752	0.0015403670571425554	0.002418171138116487	0.012235249322356201	0.0025164260463715893	0.002517302044721448	0.0027655380751957503	0.0031126460304715664	0.0027655380751957503	0.00948950995660569	0.0029523740438980317	0.00453521976311122
RUVg Platelet (k=1)	Toden et al.	0.0009562174906601051	0.00033519432311446273	0.004656456092569372	0.013781943405897445	0.0011445407155573628	0.0029511025477751973	0.0010094670375567771	0.001539235722271326	0.00919075841427719	0.0	0.008260211835855569	0.0	0.007956681562631185	0.00506615171708058	0.0004794496187452424
RUVg Platelet (k=1)	Ward Z et al.	0.007535044451755013		0.01069614744602665	0.0096795901994976	0.009124225168741118	0.009863029445620564	0.01417646809597084	0.009373549307839069	0.00705979768121312	0.0	0.008202089722109451	0.0	0.011656863471910972	0.00939632773459631	0.009541519554977507
RUVg Platelet (k=2)	Chalasani et al.	0.0014710593607456524		0.0026376694543032153	0.004368871774291461	0.0020818421399594333	0.0021321038170638573	0.005318854829362452	0.0018301315374201765	0.0035550578151472	0.0	0.007815752709821266	0.0	0.005761197370872995	0.006941466803352725	0.001083035283516831
RUVg Platelet (k=2)	Chang et al.	0.000551936976969869	0.01731154064276519	0.00771696830884816	0.003820929643670423	0.0016447499203461335	0.002299612592539524	0.0012451372967755558	0.003934815859744867	0.0020727202028431035	0.00023050474878616445	0.0027249622515771454	0.00021479207150321145	0.000923548877911684	0.004291094306496768	0.0025739140654880144
RUVg Platelet (k=2)	Chen et al.	0.0012389470931067903	0.0002611108197640988	0.012947922588111394	0.02325034440125895	0.006010998520684541	0.011790966276376436	0.0	0.012901335917823054	0.006877633056493804	0.0035132757012497073	0.006666088027509565	0.0	0.015491462515868415	0.00825634595806557	0.00903195979599103
RUVg Platelet (k=2)	Gardella et al.	0.0002041605708142935	0.01146014570078735	0.007416411030092829	0.006621007898389597	0.0012020036827620206	0.004175908569778453	0.00046208492096566633	0.004776307810167801	0.0077428559853415235	0.0	0.00247213541117286	0.0	0.0054661722749471675	0.002843091247313856	0.002296958750900191
RUVg Platelet (k=2)	Moore et al.	7.408411445386509e-05	0.004989600763750102	0.001793202596443444	0.004529967074551333	0.0002875586542958608	0.0009133104364118516	0.0015171065658852179	0.0039336022040670215	0.0028404282667044978	0.0	0.001780866888858701	0.0005551180726925953	0.0043165637539053225	0.0009669861881125286	0.002317650377554714
RUVg Platelet (k=2)	Moufarrej et al.	0.0006607036589710846	0.0011974674232515525	0.005135109180370301	0.0035463104072626095	0.0017071052206637516	0.0015613892202167579	0.0	0.006526816160725035	0.00237871858718941	0.0	0.0010374751555131123	0.0	0.003088988189937858	0.001443296828068652	0.0020333188304041405
RUVg Platelet (k=2)	Roskams-Hieter B et al.	0.0018176208043004793	0.0020495710253510824	0.005248446139359708	0.002017928330565466	0.0016979547034736697	0.0017119939333299916	0.01484070410485161	0.0018139594700679051	0.002925335056366496	0.0033273911208296925	0.0027015944220343258	0.0033273911208296925	0.009004579749200103	0.003146455766639411	0.005380821406756553
RUVg Platelet (k=2)	Toden et al.	0.001110836612140953	0.0	0.00463482551840988	0.0120000141479365	0.0009654722491498902	0.0024601104098167514	0.0	0.0016216683615425387	0.00930311868849143	0.0	0.009603916040319405	0.0	0.005317669765245836	0.002948374714042079	0.0005024066522616444
RUVg Platelet (k=2)	Ward Z et al.	0.007918497942484337		0.00985674919014512	0.009491120196027603	0.009215976728895958	0.008655632435703775	0.014369206600983286	0.009472468698345171	0.0073641323255572155	0.0	0.006993331251218815	0.0	0.011851142767344003	0.009735172002910408	0.008517810833321815
RUVg Platelet (k=3)	Chalasani et al.	0.0015008316288647183		0.002127090167295509	0.004086983456443982	0.0021187149086419055	0.002153084758764745	0.005168560438953196	0.0012188887125463843	0.0025531052128299203	0.0	0.007636804151743948	0.0	0.00499916952090651	0.0048872537320426845	0.0011003736005764653
RUVg Platelet (k=3)	Chang et al.	0.0005871601627391865	0.016885341065065895	0.007082789121017341	0.0023897554241560925	0.0016400306365964568	0.0018123591168440756	0.0010187877204338447	0.00402581622209186	0.002314496966488444	0.00029343471974985214	0.002783258199213212	0.00027502852934546684	0.0010404382481838947	0.0036145711319889307	0.002573677729099999
RUVg Platelet (k=3)	Chen et al.	0.0014137719895261913	0.0003993138706426258	0.010681239738254189	0.01280825437277422	0.005949924517955618	0.010027319404414703	0.0	0.013349993603354537	0.007530847631901372	0.0033671235541974376	0.007290610306631251	0.0	0.01774088492049497	0.006945802954354652	0.010143641412511784
RUVg Platelet (k=3)	Gardella et al.	0.00010654733404169558	0.006476448601973939	0.00446433381110356	0.005884560607101741	9.897072539200025e-05	0.0015414773173995089	0.0002974598776840365	0.004873569407642053	0.004802111765011996	0.0	0.0026277873654665385	0.0	0.005418750916606707	0.0025801050952098947	0.0009262969432650703
RUVg Platelet (k=3)	Moore et al.	7.118796803717853e-05	0.004421064503720151	0.0018445303157383908	0.0033127571082283147	0.00016881068414120737	0.0005597344946031146	0.0014732041212976998	0.0033443373973208734	0.001982940066876493	0.0	0.0017442773075430074	0.0005174339386297966	0.004391002097408503	0.0008896153550007613	0.0023983135938340228
